UniProt ID;Gene;Protein name
P60568;IL2;Interleukin-2
P14784;IL2RB;Interleukin-2 receptor subunit beta
Q8NHJ6;LILRB4;Leukocyte immunoglobulin-like receptor subfamily B member 4
Q13459;MYO9B;Unconventional myosin-IXb
O95760;IL33;Interleukin-33
P01584;IL1B;Interleukin-1 beta
Q9NYY1;IL20;Interleukin-20
P57771;RGS8;Regulator of G-protein signaling 8
P20809;IL11;Interleukin-11
Q96PD4;IL17F;Interleukin-17F
P05112;IL4;Interleukin-4
O76038;SCGN;Secretagogin
Q96AX2;RAB37;Ras-related protein Rab-37
O95715;CXCL14;C-X-C motif chemokine 14
P05412;JUN;Transcription factor AP-1
Q03426;MVK;Mevalonate kinase
P35225;IL13;Interleukin-13
O14904;WNT9A;Protein Wnt-9a
Q8N6P7;IL22RA1;Interleukin-22 receptor subunit alpha-1
P22301;IL10;Interleukin-10
Q9HCU5;PREB;Prolactin regulatory element-binding protein
Q9NP70;AMBN;Ameloblastin
Q13007;IL24;Interleukin-24
Q9UPV0;CEP164;Centrosomal protein of 164 kDa
P28838;LAP3;Cytosol aminopeptidase
O60934;NBN;Nibrin
O43707;ACTN4;Alpha-actinin-4
Q96P31;FCRL3;Fc receptor-like protein 3
Q8WV07;LTO1;Protein LTO1 homolog
Q9Y478;PRKAB1;5'-AMP-activated protein kinase subunit beta-1
O95379;TNFAIP8;Tumor necrosis factor alpha-induced protein 8
Q8TCS8;PNPT1;Polyribonucleotide nucleotidyltransferase 1, mitochondrial
Q5T4W7;ARTN;Artemin
P27540;ARNT;Aryl hydrocarbon receptor nuclear translocator
Q5R372;RABGAP1L;Rab GTPase-activating protein 1-like
Q969V3;NCLN;Nicalin
P26951;IL3RA;Interleukin-3 receptor subunit alpha
P19801;AOC1;Amiloride-sensitive amine oxidase [copper-containing]
Q6UXK5;LRRN1;Leucine-rich repeat neuronal protein 1
Q13651;IL10RA;Interleukin-10 receptor subunit alpha
Q99748;NRTN;Neurturin
P48061;CXCL12;Stromal cell-derived factor 1
Q13219;PAPPA;Pappalysin-1
Q96DB9;FXYD5;FXYD domain-containing ion transport regulator 5
Q04759;PRKCQ;Protein kinase C theta type
Q13574;DGKZ;Diacylglycerol kinase zeta
Q9UHF4;IL20RA;Interleukin-20 receptor subunit alpha
Q9Y2J8;PADI2;Protein-arginine deiminase type-2
P63241;EIF5A;Eukaryotic translation initiation factor 5A-1
Q9Y3P8;SIT1;Signaling threshold-regulating transmembrane adapter 1
P01375;TNF;Tumor necrosis factor
Q16552;IL17A;Interleukin-17A
