UniProt ID;Gene;Protein name
P09110;ACAA1;3-ketoacyl-CoA thiolase, peroxisomal
P15309;ACP3;Prostatic acid phosphatase
O43184;ADAM12;Disintegrin and metalloproteinase domain-containing protein 12
Q86Y34;ADGRG3;Adhesion G protein-coupled receptor G3
P08319;ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4
Q8N4X5;AFAP1L2;Actin filament-associated protein 1-like 2
P55008;AIF1;Allograft inflammatory factor 1
O43823;AKAP8;A-kinase anchor protein 8
Q9UM73;ALK;ALK tyrosine kinase receptor
Q9BTT0;ANP32E;Acidic leucine-rich nuclear phosphoprotein 32 family member E
P19801;AOC1;Amiloride-sensitive amine oxidase [copper-containing]
P27695;APEX1;DNA-(apurinic or apyrimidinic site) endonuclease
Q92974;ARHGEF2;Rho guanine nucleotide exchange factor 2
Q5T9A4;ATAD3B;ATPase family AAA domain-containing protein 3B
P18846;ATF1;Cyclic AMP-dependent transcription factor ATF-1
P15336;ATF2;Cyclic AMP-dependent transcription factor ATF-2
P61421;ATP6V0D1;V-type proton ATPase subunit d 1
P56817;BACE1;Beta-secretase 1
Q9UQB8;BAIAP2;Brain-specific angiogenesis inhibitor 1-associated protein 2
Q7Z6A9;BTLA;B- and T-lymphocyte attenuator
Q6UXG8;BTNL9;Butyrophilin-like protein 9
Q49A92;C8orf34;Uncharacterized protein C8orf34
Q16566;CAMK4;Calcium/calmodulin-dependent protein kinase type IV
A8K4G0;CD300LB;CMRF35-like molecule 7
P49715;CEBPA;CCAAT/enhancer-binding protein alpha
Q8N2Z9;CENPS;Centromere protein S
Q9UEE9;CFDP1;Craniofacial development protein 1
P11229;CHRM1;Muscarinic acetylcholine receptor M1
P20309;CHRM3;Muscarinic acetylcholine receptor M3
Q9Y4C5;CHST2;Carbohydrate sulfotransferase 2
P09496;CLTA;Clathrin light chain A
P09919;CSF3;Granulocyte colony-stimulating factor
Q9NQC7;CYLD;Ubiquitin carboxyl-terminal hydrolase CYLD
Q8IY21;DDX60;Probable ATP-dependent RNA helicase DDX60
Q9H2U1;DHX36;ATP-dependent DNA/RNA helicase DHX36
Q13409;DYNC1I2;Cytoplasmic dynein 1 intermediate chain 2
Q9BQ95;ECSIT;Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial
P24530;EDNRB;Endothelin receptor type B
P11308;ERG;Transcriptional regulator ERG
Q9UI08;EVL;Ena/VASP-like protein
Q9UH90;FBXO40;F-box only protein 40
P17677;GAP43;Neuromodulin
Q9H0R5;GBP3;Guanylate-binding protein 3
P57764;GSDMD;Gasdermin-D
P35367;HRH1;Histamine H1 receptor
P09914;IFIT1;Interferon-induced protein with tetratricopeptide repeats 1
